[27Oct2025 21:26:28.056] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.3.7, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, nogui]
[27Oct2025 21:26:28.060] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.16 by Ubuntu; OS Linux arch amd64 version 6.8.0-1030-azure
[27Oct2025 21:26:30.950] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[27Oct2025 21:26:31.005] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/Server.onepiece01/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2365!/ Service=ModLauncher Env=SERVER
[27Oct2025 21:26:31.046] [main/INFO] [Mods Optimizer/]: [Mods Optimizer] ♻ Init ...
[27Oct2025 21:26:31.047] [main/INFO] [Mods Optimizer/]: Game Directory: /workspaces/Server.onepiece01/servidor_minecraft
[27Oct2025 21:26:31.048] [main/INFO] [Mods Optimizer/]: Mods Directory: /workspaces/Server.onepiece01/servidor_minecraft/mods
[27Oct2025 21:26:31.048] [main/INFO] [Mods Optimizer/]: Game Environment: SERVER
[27Oct2025 21:26:31.050] [main/INFO] [Mods Optimizer/]: Loading Mods Database Config File from /workspaces/Server.onepiece01/servidor_minecraft/config/mods_optimizer/config.toml
[27Oct2025 21:26:31.092] [main/INFO] [Mods Optimizer/]: [Mods Database Updater] ⏳ Local mods-database.json is still fresh (last update: 2025-10-27T18:37:09.942730447Z).
[27Oct2025 21:26:31.099] [main/INFO] [Mods Optimizer/]: Mods Optimizer Mods Database Config File loaded with 346 mods client: 306, server: 18, default: 22.
[27Oct2025 21:26:31.100] [main/INFO] [Mods Optimizer/]: ♻ init with game dir /workspaces/Server.onepiece01/servidor_minecraft and mods dir /workspaces/Server.onepiece01/servidor_minecraft/mods for target SERVER in 51 ms.
[27Oct2025 21:26:31.102] [main/INFO] [Mods Optimizer/]: ♻ Parsing Mods data ...
[27Oct2025 21:26:31.103] [main/INFO] [Mods Optimizer/]: [Mod Data] parsing ~116 mods in /workspaces/Server.onepiece01/servidor_minecraft/mods with file extension .jar ...
[27Oct2025 21:26:31.137] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_spawn from BOTH to SERVER
[27Oct2025 21:26:31.159] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_core from BOTH to SERVER
[27Oct2025 21:26:31.181] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_player from BOTH to SERVER
[27Oct2025 21:26:31.191] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for attributefix from CLIENT to BOTH
[27Oct2025 21:26:31.217] [main/WARN] [Mods Optimizer/]: [Mod Data] ⚠ Unable to read manifest from mod file /workspaces/Server.onepiece01/servidor_minecraft/mods/stellarity-lite-1.20.1.jar, which is expected in some cases.
[27Oct2025 21:26:31.221] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks from BOTH to SERVER
[27Oct2025 21:26:31.273] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_items from BOTH to SERVER
[27Oct2025 21:26:31.278] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.yungsapi[0] section of the mods.toml file /workspaces/Server.onepiece01/servidor_minecraft/mods/YungsApi-1.20-Forge-4.0.6.jar!
[27Oct2025 21:26:31.295] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_gamerules from BOTH to SERVER
[27Oct2025 21:26:31.344] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.travelerstitles[0] section of the mods.toml file /workspaces/Server.onepiece01/servidor_minecraft/mods/TravelersTitles-1.20-Forge-4.0.2.jar!
[27Oct2025 21:26:31.349] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 2 data pack mods in 112 mods.
[27Oct2025 21:26:31.349] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 8 server mods in 112 mods.
[27Oct2025 21:26:31.349] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 102 default mods in 112 mods.
[27Oct2025 21:26:31.350] [main/INFO] [Mods Optimizer/]: -------------------------------------------------------------------------------------------------------------------
[27Oct2025 21:26:31.354] [main/INFO] [Mods Optimizer/]: | ID                                 | VERSION                | TYPE     | ENVIRONMENT       | TIMESTAMP           |
[27Oct2025 21:26:31.355] [main/INFO] [Mods Optimizer/]: -------------------------------------------------------------------------------------------------------------------
[27Oct2025 21:26:31.359] [main/INFO] [Mods Optimizer/]: | adaptive_performance_tweaks_core   | 11.5.0                 | FORGE    | SERVER            | 2025-08-28 23:51:03 |
[27Oct2025 21:26:31.360] [main/INFO] [Mods Optimizer/]: | kubejs                             | 2001.6.5-build.16      | FORGE    | BOTH              | 2024-10-28 09:20:21 |
[27Oct2025 21:26:31.363] [main/INFO] [Mods Optimizer/]: | almanac                            | 1.0.2                  | FORGE    | SERVER            | 2025-10-25 16:49:37 |
[27Oct2025 21:26:31.366] [main/INFO] [Mods Optimizer/]: | alexsmobs                          | 1.22.9                 | FORGE    | BOTH              | 2025-10-25 16:30:22 |
[27Oct2025 21:26:31.369] [main/INFO] [Mods Optimizer/]: | geckolib                           | 4.7.2                  | FORGE    | BOTH              | 2025-06-17 06:13:27 |
[27Oct2025 21:26:31.371] [main/INFO] [Mods Optimizer/]: | botarium                           | 2.3.4                  | FORGE    | BOTH              | 2025-10-25 16:18:36 |
[27Oct2025 21:26:31.375] [main/INFO] [Mods Optimizer/]: | moreartifacts                      | 1.4.2-1                | FORGE    | BOTH              | 2025-06-22 05:20:30 |
[27Oct2025 21:26:31.378] [main/INFO] [Mods Optimizer/]: | aether                             | 1.20.1-1.5.2-neoforge  | NEOFORGE | BOTH              | 2025-01-28 21:37:07 |
[27Oct2025 21:26:31.381] [main/INFO] [Mods Optimizer/]: | mcdar                              | 4.0.5                  | FABRIC   | BOTH              | 2025-10-25 16:24:57 |
[27Oct2025 21:26:31.384] [main/INFO] [Mods Optimizer/]: | nerb                               | 0.4.1                  | FORGE    | BOTH              | 2025-10-25 16:49:54 |
[27Oct2025 21:26:31.386] [main/INFO] [Mods Optimizer/]: | incendium                          | 5.3.5                  | MIXED    | DATA_PACK         | 2025-10-25 16:23:33 |
[27Oct2025 21:26:31.388] [main/INFO] [Mods Optimizer/]: | sophisticatedcore                  | 1.2.71-1022            | FORGE    | BOTH              | 2025-06-21 23:44:26 |
[27Oct2025 21:26:31.390] [main/INFO] [Mods Optimizer/]: | xaeroworldmap                      | 1.39.9                 | FORGE    | BOTH              | 2025-05-16 10:42:20 |
[27Oct2025 21:26:31.392] [main/INFO] [Mods Optimizer/]: | citadel                            | 2.6.1                  | FORGE    | BOTH              | 2024-12-18 09:11:09 |
[27Oct2025 21:26:31.392] [main/INFO] [Mods Optimizer/]: | placebo                            | 8.6.2                  | FORGE    | BOTH              | 2024-06-10 00:10:20 |
[27Oct2025 21:26:31.392] [main/INFO] [Mods Optimizer/]: | waves                              | 1.5.1                  | FORGE    | BOTH              | 2025-10-25 16:28:14 |
[27Oct2025 21:26:31.393] [main/INFO] [Mods Optimizer/]: | yungsapi                           | 1.204.0-6              | FORGE    | UNKNOWN           | 2024-09-30 02:13:42 |
[27Oct2025 21:26:31.403] [main/INFO] [Mods Optimizer/]: | redirected                         | 1.0.0                  | FORGE    | UNKNOWN           | 2025-10-25 16:50:13 |
[27Oct2025 21:26:31.404] [main/INFO] [Mods Optimizer/]: | sophisticatedbackpacks             | 3.23.19-1263           | FORGE    | BOTH              | 2025-06-21 16:21:42 |
[27Oct2025 21:26:31.405] [main/INFO] [Mods Optimizer/]: | adaptive_performance_tweaks_gamerules | 11.5.0                 | FORGE    | SERVER            | 2025-08-28 23:51:04 |
[27Oct2025 21:26:31.406] [main/INFO] [Mods Optimizer/]: | simpleplanes                       | 1.20.1-5.3.3           | FORGE    | BOTH              | 2024-07-16 11:49:02 |
[27Oct2025 21:26:31.406] [main/INFO] [Mods Optimizer/]: | balm                               | 7.3.29                 | FORGE    | BOTH              | 2025-05-11 20:08:09 |
[27Oct2025 21:26:31.408] [main/INFO] [Mods Optimizer/]: | mr_stellarity_lite                 | 1.20.1                 | MIXED    | DATA_PACK         | 2025-10-25 16:26:39 |
[27Oct2025 21:26:31.409] [main/INFO] [Mods Optimizer/]: | carryon                            | 2.1.2-7                | FORGE    | BOTH              | 2023-11-19 22:01:15 |
[27Oct2025 21:26:31.409] [main/INFO] [Mods Optimizer/]: | vampiresneedumbrellas              | 1.0.1                  | FORGE    | UNKNOWN           | 2023-09-13 17:15:43 |
[27Oct2025 21:26:31.410] [main/INFO] [Mods Optimizer/]: | baguettelib                        | 1.0.0                  | FORGE    | UNKNOWN           | 2025-10-25 16:18:34 |
[27Oct2025 21:26:31.411] [main/INFO] [Mods Optimizer/]: | cloth_config                       | 11.1.136               | FORGE    | BOTH              | 2025-10-25 16:17:45 |
[27Oct2025 21:26:31.412] [main/INFO] [Mods Optimizer/]: | twilightforest                     | 4.3.2508               | FORGE    | BOTH              | 2024-06-24 18:00:24 |
